节点名称,频次分层,问题内容
盈利管理,高频,"感觉还能涨，但我又怕利润没了，到底卖不卖？"
盈利管理,高频,"是不是该加仓？让利润奔跑！"
盈利管理,中频,"这个票是龙头吗？能拿到多少个板？"
盈利管理,中频,"股价到了目标价的一半了，我要不要减点仓锁定利润？"
盈利管理,低频,"现在的估值高估了吗？还有没有业绩预期差？"
盈利管理,低频,"我设的移动止盈线在哪里？是否该上移止损位保护利润？"
亏损管理,高频,"跌了20%了，还有必要止损吗？想消极持有了。"
亏损管理,高频,"是不是因为我运气太差，一买就跌一卖就涨？"
亏损管理,高频,"止损之后马上涨了怎么办？岂不是两面挨打？"
亏损管理,中频,"部分止损行不行？"
亏损管理,中频,"群里说这个主力已经跑了，是真的吗？"
亏损管理,低频,"当初买入的逻辑还在不在？基本面恶化了吗？"
亏损管理,低频,"这笔亏损占我总仓位多少了？到我的纪律止损线了吗？"
触发止损/止盈,高频,"实在扛不住了，一刀下去浑身轻松？"
触发止损/止盈,高频,"破了20日线了，是不是趋势走坏了必须出来？"
触发止损/止盈,高频,"大盘暴跌了，我要不要先出来避险？"
触发止损/止盈,中频,"到达目标价了，卖不卖？卖了又涨怎么办？"
触发止损/止盈,中频,"出了个大股东减持公告，要不要无条件卖出？"
触发止损/止盈,低频,"我的止损是机械执行的还是情绪化执行的？"
触发止损/止盈,低频,"这次触发止损的原因，是交易系统内的正常损耗吗？"
离场执行,高频,"刚卖完就涨停了，我要不要追回来？"
离场执行,高频,"逻辑走完了，是该清仓还是留点利润在里面飞？"
离场执行,高频,"接下来买哪个？快推荐一个回本快的。"
离场执行,中频,"卖完之后资金去哪里？有没有下一个备选标的？"
离场执行,中频,"这次赚/亏的比例和预期一致吗？"
离场执行,低频,"我有没有严格执行离场纪律？还是被贪婪恐惧左右了？"
离场执行,低频,"清仓后账户现金比例是否回到了安全状态？"
复盘总结,高频,"这次亏了这么多，下次我一定要拿住/早点跑。"
复盘总结,高频,"这个市场没法玩了，全是负和博弈。"
复盘总结,中频,"我有没有写复盘笔记？这次循环和上次有什么不同？"
复盘总结,中频,"有没有什么软件能帮我自动盯盘/自动止损？"
复盘总结,低频,"这次交易周期内的年化收益率是多少？跑赢指数了吗？"
复盘总结,低频,"本次操作的优缺点总结：是研究对了运气好，还是研究错了但运气好？"
复盘总结,低频,"我的交易系统在这次行情中暴露了什么缺陷？如何改进？"
等待下一次机会,高频,"休息了几天手又痒了，现在有什么票能买？"
等待下一次机会,高频,"我删软件不看了，等下个月再回来看账户。"
等待下一次机会,中频,"下次我一定要等回调再买/等突破再买。"
等待下一次机会,中频,"是不是该换个策略了？短线不行改长线？"
等待下一次机会,低频,"休息一段时间，等下一个明确的右侧机会再进场。"
等待下一次机会,低频,"在等待期，我有没有去学习提升基本面/技术面知识？"
等待下一次机会,低频,"我现在的情绪状态适合重新入场吗？还是需要更多冷静期？"
